Title,Date,Rating,Genres,Budget,WorldwideGross,Description,Keywords,Runtime,Revenue-Budget-Ratio
The Invisible Man,2020,R,Drama Horror Mystery Sci-Fi Thriller ,7000000,143151000,"The film follows Cecilia, who receives the news of her abusive ex-boyfriend's suicide. She begins to re-build her life for the better. However, her sense of reality is put into question when she begins to suspect her deceased lover is not actually dead.",domestic abuse psychological abuse invisibility invisibility suit mad scientist 402 more ,124,20.45014286
Emma.,2020,PG,Comedy Drama Romance ,10000000,26404660,"Jane Austen's beloved comedy about finding your equal and earning your happy ending, is reimagined in this. Handsome, clever, and rich, Emma Woodhouse is a restless queen bee without rivals in her sleepy little town. In this glittering satire of social class and the pain of growing up, Emma must adventure through misguided matches and romantic missteps to find the love that has been there all along.",nineteenth century female protagonist declaration of love based on novel horse and carriage 193 more ,124,2.640466
Dolittle,2020,PG,Adventure Comedy Family Fantasy ,175000000,245438444,"After his wife's death, Dr. John Dolittle (Robert Downey, Jr.) decided to hide from the world with his beloved animals. But he has to take a journey to a mysterious island to find a healing tree, which is the only medicine that can help the dying Queen Victoria (Jessie Buckley) in Buckingham Palace.",gorilla grief duck live action cgi hybrid ship 53 more ,74,1.402505394
The Call of the Wild,2020,PG,Adventure Drama Family ,135000000,111105497,"The Call of the Wild is a vibrant story of Buck, a big and kindhearted dog, a crossbreed between a St. Bernard and a Scotch Collie, whose carefree life of leisure was suddenly upset when he was stolen from his home in Santa Clara County, California and deported up north, to be sold in Skagway, Alaska, and taken further north, to Dawson City, Yukon, during the late 1890s Klondike Gold Rush, when strong sled dogs were in high demand. As a newcomer to the dog team delivery service - and not before long their front-runner - Buck, a dog like no other, who had been spoiled, and who had suffered, but he could not be broken, is having the time of his life. Forced to fight to survive, eventually taken by his last owner, John Thornton, to proximity of the Arctic Circle, somewhere between Yukon and Alaska, he progressively depends on his primal instincts, sheds the comforts of civilization and responds to ""the call of the wild"", as master of his own.",1890s remake alaska snow dog 93 more ,64,0.823003681
The Rhythm Section,2020,R,Action Drama Mystery Thriller ,50000000,5989583,"Blake Lively stars as Stephanie Patrick, an ordinary woman on a path of self-destruction after her family is tragically killed in a plane crash. When Stephanie discovers that the crash was not an accident, she enters a dark, complex world to seek revenge on those responsible and find her own redemption. Based on the novel by Mark Burnell, from director Reed Morano (""The Handmaid's Tale"") and the producers of the James Bond film series, The Rhythm Section also stars Jude Law and Sterling K. Brown.",female assassin revenge terrorism female protagonist sex scene 307 more ,154,0.11979166
It Chapter Two,2019,R,Drama Fantasy Horror ,79000000,473093228,"Defeated by members of the Losers' Club, the evil clown Pennywise returns 27 years later to terrorize the town of Derry, Maine, once again. Now adults, the childhood friends have long since gone their separate ways. But when people start disappearing, Mike Hanlon calls the others home for one final stand. Damaged by scars from the past, the united Losers must conquer their deepest fears to destroy the shape-shifting Pennywise -- now more powerful than ever.",killer clown clown evil clown evil based on the works of stephen king 476 more ,214,5.988521873
After,2019,PG-13,Drama Romance ,14000000,69518232,"Based on Anna Todd's novel, AFTER follows Tessa (Langford), a dedicated student, dutiful daughter, and loyal girlfriend to her high-school sweetheart, as she enters her first semester in college armed with grand ambitions for her future. Her guarded world opens up when she meets the dark, mysterious Hardin Scott (Tiffin), a magnetic, brooding rebel who makes her question all she thought she knew about herself and what she wants from life.",based on novel one word title college teenage girl teenage boy 40 more ,114,4.965588
Doctor Sleep,2019,R,Drama Fantasy Horror Thriller ,45000000,72381712,"On highways across America, a tribe of people called The True Knot travel in search of sustenance. They look harmless-mostly old, lots of polyester, and married to their RVs. But as Dan Torrance knows, and tween Abra Stone learns, The True Knot are quasi-immortal, living off the ""steam"" that children with the ""shining"" produce when they are slowly tortured to death. Haunted by the inhabitants of the Overlook Hotel where he spent one horrific childhood year, Dan has been drifting for decades, desperate to shed his father's legacy of despair, alcoholism, and violence. Finally, he settles in a New Hampshire town, an AA community that sustains him, and a job at a nursing home where his remnant ""shining"" power provides the crucial final comfort to the dying. Aided by a prescient cat, he becomes ""Doctor Sleep."" Then Dan meets the evanescent Abra Stone, and it is her spectacular gift, the brightest shining ever seen, that reignites Dan's own demons and summons him to a battle for Abra's soul and survival.",based on the works of stephen king hat vampire the shining based on novel 530 more ,143,1.608482489
Little Women,2019,PG,Drama Romance ,40000000,216601214,"In the years after the Civil War, Jo March (Saoirse Ronan) lives in New York City and makes her living as a writer, while her sister Amy March (Florence Pugh) studies painting in Paris. Amy has a chance encounter with Theodore ""Laurie"" Laurence (Timothée Chalamet), a childhood crush who proposed to Jo, but was ultimately rejected. Their oldest sibling, Meg March (Emma Watson), is married to a schoolteacher, while shy sister Beth (Eliza Scanlen) develops a devastating illness that brings the family back together.",aspiring writer poverty mother daughter relationship women's rights based on novel 118 more ,171,5.41503035
Jojo Rabbit,2019,PG-13,Comedy Drama War ,14000000,90335025,A World War II satire that follows a lonely German boy named Jojo (,nazi germany world war two satire mother son relationship black comedy 499 more ,144,6.452501786
