Title,Release_Date,ViewRating,Runtime,Genres,Description
Crown Hunt,, , ,"
Crime, Mystery            ","
During the Korean War, soldiers unearth the ancient Korean Silla Dynasty crown jewels. Psychopathic killers steal them. Harriett, eccentric detective, and Don, track the killers across Virginia and Korea to recover the treasure."
Dune,(2021),PG-13,155 min,"
Action, Adventure, Drama            ","
Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy."
After We Fell,(2021),R,98 min,"
Drama            ","
Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim."
Cruella,(2021),PG-13,134 min,"
Adventure, Comedy, Crime            ","
A live-action prequel feature film following a young Cruella de Vil."
Infinite,(2021),PG-13,106 min,"
Action, Sci-Fi, Thriller            ","
A man discovers that his hallucinations are actually visions from past lives."
There's Someone Inside Your House,(2021),TV-MA,96 min,"
Horror, Mystery, Thriller            ","
The graduating class at Osborne High is being targeted by a masked assailant, intent on exposing the darkest secret of each victim, and only a group of misfit outsiders can stop the killings."
Fear Street: Part One - 1994,(2021),R,107 min,"
Drama, Horror, Mystery            ","
A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside."
Passing,(I) (2021),PG-13,98 min,"
Drama            ","
""Passing"" follows the unexpected reunion of two high school friends, whose renewed acquaintance ignites a mutual obsession that threatens both of their carefully constructed realities."
The Power of the Dog,(2021),R,126 min,"
Drama, Romance, Western            ","
Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love."
No One Gets Out Alive,(2021),R,85 min,"
Drama, Horror, Mystery            ","
An immigrant in search of the American dream who, after being forced to take a room in a boarding house, finds herself in a nightmare she can't escape."
Those Who Wish Me Dead,(2021),R,100 min,"
Action, Crime, Drama            ","
A teenage murder witness finds himself pursued by twin assassins in the Montana wilderness with a survival expert tasked with protecting him -- and a forest fire threatening to consume them all."
Chaos Walking,(2021),PG-13,109 min,"
Action, Adventure, Fantasy            ","
Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone."
Fear Street: Part Two - 1978,(2021),R,109 min,"
Drama, Horror, Mystery            ","
Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival."
Nightbooks,(2021),TV-PG,103 min,"
Family, Fantasy, Horror            ","
Follows Alex, a boy obsessed with scary stories who is imprisoned by an evil young witch in her contemporary New York City apartment."
Nightmare Alley,(2021),R,139 min,"
Action, Crime, Drama            ","
An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is."
The Lost Daughter,(2021),R,121 min,"
Drama            ","
A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past."
Things Heard & Seen,(2021),TV-MA,121 min,"
Drama, Horror, Mystery            ","
An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history."
SAS: Red Notice,(2021),R,124 min,"
Action, Thriller            ","
A small army of well trained criminals led by Grace Lewis have hijacked a train deep beneath the English Channel."
Cherry,(I) (2021),R,142 min,"
Crime, Drama            ","
Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love, Emily. But after returning from the war with PTSD, his life spirals into drugs and crime as he struggles to find his place in the world."
Fear Street: Part Three - 1666,(2021),R,114 min,"
Horror, Mystery            ","
The origins of Sarah Fier's curse are finally revealed as history comes full circle on a night that changes the lives of Shadysiders forever."
The Woman in the Window,(2021),R,100 min,"
Crime, Drama, Mystery            ","
An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence."
The Witcher: Nightmare of the Wolf,(2021),TV-MA,83 min,"
Animation, Action, Adventure            ","
Escaping from poverty to become a witcher, Vesemir slays monsters for coin and glory, but when a new menace rises, he must face the demons of his past."
The Last Letter from Your Lover,(2021),TV-MA,110 min,"
Drama, Romance            ","
A pair of interwoven stories set in the past and present follow an ambitious journalist determined to solve the mystery of a forbidden love affair at the center of a trove of secret love letters from 1965."
Without Remorse,(II) (2021),R,109 min,"
Action, Thriller, War            ","
An elite Navy SEAL, goes on a path to avenge his wife's murder only to find himself inside of a larger conspiracy."
Fever Dream,(2021),R,93 min,"
Drama, Horror, Mystery            ","
It will tell the haunting story of broken souls, toxins, looming environmental and spiritual catastrophes, and the ties that bind a parent to a child."
12 Mighty Orphans,(2021),PG-13,118 min,"
History, Sport            ","
Haunted by his mysterious past, a devoted high school football coach leads a scrawny team of orphans to the state championship during the Great Depression and inspires a broken nation along the way."
Mothering Sunday,(2021),R,104 min,"
Drama, Romance            ","
A maid living in post-World War I England secretly plans to meet with the man she loves before he leaves to marry another woman."
Moxie,(2021),PG-13,111 min,"
Comedy, Drama, Music            ","
Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school."
The Kissing Booth 3,(2021),TV-14,112 min,"
Comedy, Romance            ","
It's the summer before Elle Evans is set to head off to college, and she has a big decision to make."
The White Tiger,(2021),R,125 min,"
Crime, Drama            ","
An ambitious Indian driver uses his wit and cunning to escape from poverty and rise to the top. An epic journey based on the New York Times bestseller."
Sounds Like Love,(2021),TV-MA,110 min,"
Comedy, Music, Romance            ","
Fashion assistant Maca has just about got her life together after a devastating breakup, when Leo, the man who broke her heart returns. Seeking support from best friends, Adriana and Jime, all three will learn love can be complicated."
Lost Illusions,(2021), ,149 min,"
Drama, History            ","
An adaptation of Honoré de Balzac's novel ""Lost Illusions""."
The Marco Effect,(2021),Not Rated,125 min,"
Crime, Thriller            ","
One day Marco discovers a dead man. After learning that Marco may have invaluable information, Commissioner Mørck is determined to find and rescue him."
The Forgiven,(III) (2021), ,117 min,"
Drama            ","
The Forgiven takes place over a weekend in the High Atlas Mountains of Morocco, and explores the reverberations of a random accident on the lives of both the local Muslims, and Western visitors to a house party in a grand villa."
Trollhunters: Rise of the Titans,(2021),TV-Y7,104 min,"
Animation, Action, Adventure            ","
The heroes from the Trollhunters series team-up on an epic adventure to fight the Arcane Order for control over the magic that binds them all."
JJ+E,(2021),TV-14,90 min,"
Drama, Romance            ","
Two youngsters are raised in the same city, yet they live light years apart, separated economically, socially and culturally. That is until the day they start in the same high school class."
Flora & Ulysses,(2021),PG,95 min,"
Adventure, Comedy, Family            ","
When Flora rescues a squirrel she names Ulysses, she is amazed to discover he possesses unique superhero powers, which take them on an adventure of humorous complications that ultimately change Flora's life and her outlook forever."
Three Floors,(2021), ,119 min,"
Comedy, Drama            ","
The story of three families living in three apartments in the same bourgeois condominium."
