Link,Title,Release_Date,ViewRating,Runtime,Genres,Description
/title/tt0075959/,Jin yu liang yuan hong lou meng,(2007), ,108 min,"Musical, Romance",
/title/tt0144084/,American Psycho,(2000),R,101 min,"Comedy, Crime, Drama","A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies."
/title/tt0180093/,Requiem for a Dream,(2000),R,102 min,Drama,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
/title/tt0266308/,Battle Royale,(2000),Not Rated,114 min,"Action, Adventure, Drama","In the future, the Japanese government captures a class of ninth-grade students and forces them to kill each other under the revolutionary ""Battle Royale"" act."
/title/tt0190590/,"O Brother, Where Art Thou?",(2000),PG-13,107 min,"Adventure, Comedy, Crime","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them."
/title/tt0163978/,The Beach,(I) (2000),R,119 min,"Adventure, Drama, Romance","On vacation in Thailand, Richard sets out for an island rumored to be a solitary beach paradise."
/title/tt0177971/,The Perfect Storm,(2000),PG-13,130 min,"Action, Adventure, Drama",An unusually intense storm pattern catches some commercial fishermen unaware and puts them in mortal danger.
/title/tt0241303/,Chocolat,(2000),PG-13,121 min,"Drama, Romance",A French woman and her young daughter open up a chocolate shop in a small remote village that shakes up the rigid morality of the community.
/title/tt0146882/,High Fidelity,(2000),R,113 min,"Comedy, Drama, Music","Rob, a record store owner and compulsive list maker, recounts his top five breakups, including the one in progress."
/title/tt0190332/,"Crouching Tiger, Hidden Dragon",(2000),PG-13,120 min,"Action, Adventure, Drama",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
/title/tt0192255/,The Little Vampire,(2000),PG,95 min,"Adventure, Comedy, Family","A lonely American boy living in Scotland makes a new best friend, a fellow nine year-old who happens to be a vampire."
/title/tt0211181/,102 Dalmatians,(2000),G,100 min,"Adventure, Comedy, Family",Cruella DeVil gets out of prison and goes after the puppies once more.
/title/tt0146984/,The Legend of Bagger Vance,(2000),PG-13,126 min,"Drama, Fantasy, Sport",A down-and-out golfer attempts to recover his game and his life with help from a mystical caddy.
