Link,Title_x,Release_Date,ViewRating_x,Runtime_x,Genres_x,Description_x,Title_y,ViewRating_y,Genres_y,Budget,DomesticGross,WorldwideGross,Description_y,Keywords,Runtime_y
/title/tt12704620/,Crown Hunt,, , ,"Crime, Mystery","During the Korean War, soldiers unearth the ancient Korean Silla Dynasty crown jewels. Psychopathic killers steal them. Harriett, eccentric detective, and Don, track the killers across Virginia and Korea to recover the treasure.",,,,,,,,,
/title/tt1160419/,Dune,(2021),PG-13,155 min,"Action, Adventure, Drama","Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",,,,,,,,,
/title/tt13069986/,After We Fell,(2021),R,98 min,Drama,"Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim.",,,,,,,,,
/title/tt3228774/,Cruella,(2021),PG-13,134 min,"Adventure, Comedy, Crime",A live-action prequel feature film following a young Cruella de Vil.,,,,,,,,,
/title/tt6654210/,Infinite,(2021),PG-13,106 min,"Action, Sci-Fi, Thriller",A man discovers that his hallucinations are actually visions from past lives.,,,,,,,,,
/title/tt8150814/,There's Someone Inside Your House,(2021),TV-MA,96 min,"Horror, Mystery, Thriller","The graduating class at Osborne High is being targeted by a masked assailant, intent on exposing the darkest secret of each victim, and only a group of misfit outsiders can stop the killings.",,,,,,,,,
/title/tt6566576/,Fear Street: Part One - 1994,(2021),R,107 min,"Drama, Horror, Mystery",A circle of teenage friends accidentally encounter the ancient evil responsible for a series of brutal murders that have plagued their town for over 300 years. Welcome to Shadyside.,,,,,,,,,
/title/tt8893974/,Passing,(I) (2021),PG-13,98 min,Drama,"""Passing"" follows the unexpected reunion of two high school friends, whose renewed acquaintance ignites a mutual obsession that threatens both of their carefully constructed realities.",,,,,,,,,
/title/tt10293406/,The Power of the Dog,(2021),R,126 min,"Drama, Romance, Western","Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.",,,,,,,,,
/title/tt13056008/,No One Gets Out Alive,(2021),R,85 min,"Drama, Horror, Mystery","An immigrant in search of the American dream who, after being forced to take a room in a boarding house, finds herself in a nightmare she can't escape.",,,,,,,,,
/title/tt3215824/,Those Who Wish Me Dead,(2021),R,100 min,"Action, Crime, Drama",A teenage murder witness finds himself pursued by twin assassins in the Montana wilderness with a survival expert tasked with protecting him -- and a forest fire threatening to consume them all.,,,,,,,,,
/title/tt2076822/,Chaos Walking,(2021),PG-13,109 min,"Action, Adventure, Fantasy",Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality where all thoughts are seen and heard by everyone.,,,,,,,,,
/title/tt9701940/,Fear Street: Part Two - 1978,(2021),R,109 min,"Drama, Horror, Mystery","Shadyside, 1978. School's out for summer and the activities at Camp Nightwing are about to begin. But when another Shadysider is possessed with the urge to kill, the fun in the sun becomes a gruesome fight for survival.",,,,,,,,,
/title/tt10521144/,Nightbooks,(2021),TV-PG,103 min,"Family, Fantasy, Horror","Follows Alex, a boy obsessed with scary stories who is imprisoned by an evil young witch in her contemporary New York City apartment.",,,,,,,,,
/title/tt7740496/,Nightmare Alley,(2021),R,139 min,"Action, Crime, Drama",An ambitious carny with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.,,,,,,,,,
/title/tt9100054/,The Lost Daughter,(2021),R,121 min,Drama,A woman's beach vacation takes a dark turn when she begins to confront the troubles of her past.,,,,,,,,,
/title/tt10962368/,Things Heard & Seen,(2021),TV-MA,121 min,"Drama, Horror, Mystery","An artist relocates to the Hudson Valley and begins to suspect that her marriage has a sinister darkness, one that rivals her new home's history.",,,,,,,,,
