link,published,author,series,rating,charnum,awardnum
/work/21214,(1897),by H. G. Wells,0,(3.53),18,6
/work/364,(1816),by Jane Austen,0,(4.07),69,19
/work/24434168,(2020),by Stephen Gaghan (Director),0,,10,1
/work/21623,(1903),by Jack London,0,(3.79),24,25
/work/831523,(1999),by Mark Burnell,1,(3.7),1,1
/work/23961085,(2019),by Andy Muschietti (Director),1,(2.33),23,1
/work/6664405,,by Hazel J. Hutchins,0,(3.08),1,1
/work/12550356,(2013),by Stephen King,1,(4.04),29,8
/work/2770499,(1868),by Louisa May Alcott,1,(4.01),10,30
/work/7765668,(2008),by Christine Leunens,0,(3.02),1,1
/work/24330284,,by Jake Kasdan (Director),1,(4.07),1,1
/work/24308,,by Stephen King,0,(3.76),7,10
/work/8099,,by Jonathan Lethem,0,(3.97),5,8
/work/13520191,(2013),by Donna Tartt,0,(3.94),22,16
/work/16848943,,by Nicholas Searle,0,(3.56),1,2
/work/23246960,(2019),by Dean DeBlois,1,(3.25),1,1
/work/7489,(1850),by Charles Dickens,0,(4.09),26,26
/work/4206105,(2008),by Garth Stein,0,(4.04),9,4
/work/11476261,(2012),by Maria Semple,0,(3.92),6,6
/work/15888266,,by Liu Cixin,0,(3.49),1,1
/work/13641500,(2013),by Robert Harris,0,(4.19),19,7
/work/1426913,(2007),by Steve Erickson,0,(4.01),1,2
/work/19438058,(2017),by W. Bruce Cameron,0,(4.11),3,1
/work/11100634,,by Harold Bloom,0,(3.67),1,1
/work/10966683,(2011),by Ernest Cline,1,(4.09),10,13
/work/13568479,(2013),by Jason Matthews,1,(3.82),9,3
/work/22466128,,"by Jon Turtletaub (Director), Steve Alten (Author), Dean Georgaris (Writer), Jon Hoeber (Writer)",0,(2.25),1,1
/work/14034594,,by Jeff VanderMeer,1,(3.69),3,7
/work/21740108,,by J. K. Rowling,1,(3.71),15,1
/work/11914965,,by E. L. James,1,(3.35),19,3
/work/10037,(1973),by John Bellairs,1,(3.95),7,9
/work/15101561,(2015),by Becky Albertalli,1,(4.22),5,15
/work/22781,,by Philip Reeve,1,(3.85),10,19
/work/10838342,,by James Dashner,1,(3.56),10,2
/work/12179686,,by Alexandra Bracken,1,(3.97),9,2
/work/22657514,,"by Rob Marshall (Director), David Magee (Screenwriter), P.L. Travers (Original book)",1,(3.95),7,1
/work/15888480,,by David Lagercrantz,1,(3.62),11,3
/work/21919175,,"by Eli Roth (Director), Joe Carnahan (Screenwriter)",1,(2.25),4,1
/work/18690995,,by Angie Thomas,1,(4.48),15,23
/work/22630180,,by Donovan Marsh (Director),0,(1),1,1
/work/4044,,by Madeleine L'Engle,1,(4.05),19,27
/work/7165,(1989),by Martin Amis,0,(3.7),3,5
/work/986361,(2006),by Lisa Klein,0,(3.58),6,2
/work/16018312,(2018),by Marc Forster (Director),0,(3.6),1,1
/work/76725,(1974),by James Baldwin,0,(4.12),16,3
/work/12538587,,by David Levithan,1,(3.91),25,20
/work/21658040,,by John Stevenson (Director),0,(4.17),1,1
/work/23000833,,by Vijay Krishna Acharya,0,,1,1
/work/508842,,by Jessica Abel,1,(3.5),3,1
