SearchTerm,Link1,AdaptationOf,Link2
The Invisible Man [2020 film],/work/24837781,The Invisible Man,/work/21214
Emma [2020 film],/work/24788053,Emma,/work/364
Dolittle [2020 film],/work/24434168,Dolittle [2020 film],/work/24434168
The Call of the Wild [2020 film],/work/24725786,The Call of the Wild,/work/21623
The Rhythm Section,/work/831523,,
It Chapter Two [2019 Film],/work/23961085,It Chapter Two [2019 Film],/work/23961085
After Darkness [2019 film],/work/26124078,After,/work/6664405
Doctor Sleep [2019 Film],/work/23905237,Doctor Sleep,/work/12550356
Little Women [2019 film],/work/24063655,Little Women,/work/2770499
Jojo Rabbit,/work/24241294,Caging Skies,/work/7765668
Jumanji: The Next Level [2019 Film],/work/24330284,Jumanji: The Next Level [2019 Film],/work/24330284
Pet Sematary [2019 film],/work/23112491,Pet Sematary,/work/24308
Motherless Brooklyn,/work/8099,,
The Goldfinch [2019 film],/work/24726773,The Goldfinch,/work/13520191
The Good Liar [2019 Film],/work/24327145,The Good Liar,/work/16848943
How to Train Your Dragon: The Hidden World [2019 film],/work/23246960,How to Train Your Dragon: The Hidden World [2019 film],/work/23246960
The personal history of David Copperfield [2019 film],/work/25088144,David Copperfield,/work/7489
The Art of Racing in the Rain [2019 film],/work/23596164,The Art of Racing in the Rain: A Novel,/work/4206105
"Where'd You Go, Bernadette",/work/11476261,,
The wandering earth [Liu lang di qiu] [2019 film],/work/22867146,The Wandering Earth {story},/work/15888266
An Officer and a Spy,/work/13641500,,
Zeroville,/work/1426913,,
A Dog's Way Home [2019 film],/work/22742270,A Dog's Way Home,/work/19438058
The Anatomy of Influence: Literature as a Way of Life,/work/11100634,,
Ready Player One [2018 film],/work/21661094,Ready Player One,/work/10966683
Red Sparrow [2018 film],/work/21263659,Red Sparrow,/work/13568479
The Meg [2018 film],/work/22466128,The Meg [2018 film],/work/22466128
Annihilation,/work/14034594,Annihilation,/work/14034594
Fantastic Beasts: The Crimes of Grindelwald [2018 film],/work/22634478,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,/work/21740108
Fifty Shades Freed [2018 film],/work/21776063,Fifty Shades Freed,/work/11914965
The House with a Clock in Its Walls [2018 film],/work/22387114,The House with a Clock in Its Walls,/work/10037
"Love, Simon [2018 film]",/work/21263678,Simon vs. the Homo Sapiens Agenda,/work/15101561
Mortal Engines [2018 film],/work/22939176,Mortal Engines,/work/22781
Maze Runner: The Death Cure [2018 film],/work/21742294,The Death Cure,/work/10838342
The Darkest Minds [2018 film],/work/22446792,The Darkest Minds,/work/12179686
Mary Poppins Returns [2018 film],/work/22657514,Mary Poppins Returns [2018 film],/work/22657514
The Girl in the Spider's Web [2018 Film],/work/22690608,The Girl in the Spider's Web,/work/15888480
Death Wish [2018 film],/work/21919175,Death Wish [2018 film],/work/21919175
The Hate U Give [2018 film],/work/22512640,The Hate U Give,/work/18690995
Hunter Killer [2018 film],/work/22630180,Hunter Killer [2018 film],/work/22630180
A Wrinkle in Time [2018 film],/work/21526098,A Wrinkle in Time,/work/4044
London Fields,/work/7165,,
Ophelia,/work/986361,,
Christopher Robin [2018 film],/work/16018312,Christopher Robin [2018 film],/work/16018312
If Beale Street Could Talk,/work/76725,,
Every Day [2018 film],/work/21919186,Every Day,/work/12538587
Sherlock Gnomes [2018 animated film],/work/21658040,Sherlock Gnomes [2018 animated film],/work/21658040
"Thugs Of Hindostan Hindi DVD - Amirk Khan, Amitabh Bachan, Katrina Kaif - A Bollywood Film By Aditya Chopra",/work/23000833,,
La Perdida,/work/508842,,
The Bromley Boys: The True Story of Supporting the Worst Football Team in Britain,/work/6248915,,
The Smiles of Sad Men,,,
It [2017 film],/work/20993425,It,/work/1489
Jumanji: Welcome to the Jungle [2017 film],/work/20822191,Jumanji: Welcome to the Jungle [2017 film],/work/20822191
Murder on the Orient Express [2017 film],/work/20623349,Murder on the Orient Express,/work/2742
Molly's Game [2017 film],/work/21695216,"Molly's Game: From Hollywood's Elite to Wall Street's Billionaire Boys Club, My High-Stakes Adventure in the World of Underground Poker",/work/15114888
Wonder [2017 film],/work/20799541,Wonder,/work/11993910
Fifty Shades Darker [2017 film],/work/19875583,Fifty Shades Darker,/work/11716130
The Foreigner [2017 film],/work/20906546,The Foreigner,/work/26659140
Atomic Blonde [2017 film],/work/20654862,The Coldest City,/work/12201399
American Assassin [2017 film],/work/20760385,American Assassin,/work/9783887
The Snowman [2017 film],/work/20976616,The Snowman,/work/6767489
The Dark Tower [2017 film],/work/20294605,The Dark Tower,/work/5974
"Walden ; and, Civil Disobedience",/work/7792054,,
Kingsman: The Golden Circle [2017 film],/work/20746041,The Circle,/work/14149720
The Mountain Between Us [2017 movie],/work/20801969,,
The Beguiled [2017 film],/work/20409758,The Beguiled [1971 film],/work/14878336
T2 Trainspotting [2017 film],/work/19109177,T2 Trainspotting [2017 film],/work/19109177
"Everything, Everything [2017 film]",/work/20073290,"Everything, Everything",/work/15602340
Before I Fall [2017 film],/work/19531587,Before I Fall,/work/8465376
A Dog's Purpose [2017 film],/work/19502630,A Dog's Purpose,/work/9751253
Diary of a Wimpy Kid: The Long Haul [2017 film],/work/20037511,Diary of a Wimpy Kid: The Long Haul,/work/14925100
The Shack [2017 film],/work/19603282,The Shack,/work/3376637
Tulip Fever [2017 film],/work/20197888,Tulip Fever,/work/123153
Captain Underpants: The First Epic Movie [2017 film],/work/20207602,Captain Underpants: The First Epic Movie [2017 film],/work/20207602
The Bye Bye Man [2017 Film],/work/20320537,The Bye Bye Man [2017 Film],/work/20320537
The Bookshop [2017 film],/work/21906266,The Bookshop,/work/27147
Submergence,/work/11541974,,
Thank You For Your Service [2017 film],/work/20973947,Thank You For Your Service [2017 film],/work/20973947
The Hunter's Prayer [2017 film],/work/19550613,The Hunter's Prayer [2017 film],/work/19550613
A Bag of Marbles,/work/557783,,
Legend Of The Demon Cat [Blu-ray],/work/25048227,,
Nocturnal Animals [2016 film],/work/18855841,Nocturnal Animals [2016 film],/work/18855841
Miss Peregrine's Home for Peculiar Children [2016 film],/work/18587523,Miss Peregrine's Home For Peculiar Children,/work/10951114
The Girl on the Train [2016 film],/work/18400760,The Girl on the Train,/work/15083269
Me Before You [2016 film],/work/18335169,Me Before You,/work/11686136
Fantastic Beasts and Where to Find Them [2016 film],/work/19340638,Fantastic Beasts and Where to Find Them,/work/642676
Warcraft [2016 film],/work/18533167,Warcraft [2016 film],/work/18533167
Live By Night [2016 film],/work/19310480,Live by Night,/work/12326900
Inferno [2016 film],/work/17865308,Inferno,/work/13407344
The Legend of Tarzan [2016 film],/work/18158403,The Legend of Tarzan [2016 film],/work/18158403
Silence,/work/1031302,,
Pride And Prejudice And Zombies [2016 film],/work/17902220,Pride and Prejudice and Zombies,/work/7653406
The Jungle Book [2016 film],/work/18187610,The Jungle Books,/work/2774556
Nerve [2016 film],/work/17865313,Nerve,/work/42881
How to be Single [2016 film],/work/19339608,How to be Single [2016 film],/work/19339608
Jack Reacher: Never Go Back [2016 film],/work/18698908,Never Go Back,/work/13480915
Alice Through the Looking Glass [2016 film],/work/18514410,Alice's Adventures in Wonderland / Through the Looking-Glass,/work/777000
The 5th Wave [2016 film],/work/17748008,The 5th Wave,/work/13135918
Allegiant [2016 film],/work/18133746,Allegiant,/work/11584289
The Light Between Oceans [2016 film],/work/18922217,The Light Between Oceans,/work/12179054
A Hologram For The King [2016 film],/work/18228488,A Hologram for the King,/work/12670700
Ben-Hur [2016 film],/work/18796533,Ben-Hur: A Tale of the Christ,/work/3152
Blood Father [2016 film],/work/18292352,Blood Father [2016 film],/work/18292352
Billy Lynn's Long Halftime Walk [2016 film],/work/19041172,Billy Lynn's Long Halftime Walk,/work/12072317
The Young Messiah,/work/18534727,,
Fitoor,/work/26401247,,
Kontributsiya,,,
Fifty Shades of Grey [2015 film],/work/16668532,Fifty Shades of Grey,/work/11347028
Goosebumps [2015 film],/work/17151492,Attack of the Mutant,/work/544652
The Revenant [2015 Film],/work/17001047,The Revenant,/work/825275
The Martian [2015 film],/work/16585696,The Martian,/work/13265773
War Room [2015 film],/work/16983424,Room,/work/9837747
The Hunger Games: Mockingjay: Part 2 [2015 film],/work/16809065,Mockingjay,/work/9279041
Victor Frankenstein [2015 film],/work/17501366,This Dark Endeavor: The Apprenticeship of Victor Frankenstein,/work/10930691
The Danish Girl [2015 film],/work/17000961,The Danish Girl,/work/73690
Carol [2015 film],/work/16974198,The Price of Salt,/work/112217
Maze Runner: The Scorch Trials [2015 film],/work/16911047,The Scorch Trials,/work/9448063
Brooklyn [2015 film],/work/16718871,Brooklyn,/work/7636753
The Dressmaker [2015 film],/work/17631774,The Dressmaker [2015 film],/work/17631774
Insurgent [2015 film],/work/17070915,Insurgent,/work/11657372
Home [2015 film],/work/16502494,Home,/work/5056952
Child 44 [2015 film],/work/17138333,Child 44,/work/4104266
Beasts of No Nation [2015 film],/work/19064944,Beasts of No Nation,/work/23959
Pan [2015 film],/work/16944859,Peter Pan,/work/6252
Mortdecai [2015 film],/work/17282402,Mortdecai [2015 film],/work/17282402
Wild Card [2015 film],/work/18339878,Wild Card,/work/9016933
Me and Earl and the Dying Girl [2015 film],/work/17603294,Me and Earl and the Dying Girl,/work/12028167
Paper Towns [2015 film],/work/16896068,Paper Towns,/work/5105584
Dark Places [2015 film],/work/18593839,Dark Places,/work/6752089
The Diary of a Teenage Girl [2015 film],/work/17366444,The Diary of a Teenage Girl: An Account in Words and Pictures,/work/141132
Z for Zachariah [2015 film],/work/17271231,Z for Zachariah,/work/112326
The Gunman [2015 film],/work/17179628,The Prone Gunman,/work/501101
The Lady in the Van [2015 film],/work/16794994,The Lady in the Van [2015 film],/work/16794994
Mr. Holmes [2015 film],/work/16535221,A Slight Trick of the Mind,/work/211038
90 Minutes in Heaven [2015 film],/work/17867472,90 Minutes in Heaven: A True Story of Death and Life {memoir},/work/297872
Blackway [2015 film],/work/17999479,Go with Me,/work/4196042
The Great Gilly Hopkins [2015 film],/work/19293250,The Great Gilly Hopkins,/work/6314
Wolf Totem [2015 film],/work/23260420,Wolf Totem,/work/4303884
Gone Girl [2014 film],/work/16049250,Gone Girl,/work/11234211
The Maze Runner [2014 film],/work/16501633,The Maze Runner,/work/8206950
Edge of Tomorrow [2014 film],/work/15581924,Edge of Tomorrow,/work/8419505
Divergent [2014 film],/work/16491446,Divergent,/work/10261765
The Hobbit: The Battle of Five Armies,/work/15657101,The Hobbit,/work/3206242
The Hunger Games: Mockingjay: Part 1 [2014 film],/work/15841154,Mockingjay,/work/9279041
Sin City: A Dame to Kill For [2014 film],/work/16674519,Sin City: A Dame to Kill For,/work/5659
Unbroken [2014 film],/work/16065784,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",/work/10151285
Vampire Academy [2014 film],/work/16674756,Vampire Academy,/work/2936695
The Fault in Our Stars [2014 film],/work/15593048,The Fault in Our Stars,/work/11456497
Inherent Vice,/work/6663533,,
Paddington [2014 film],/work/16733444,Paddington [2014 film],/work/16733444
A Walk Among the Tombstones [2014 film],/work/16837564,A Walk Among the Tombstones,/work/24565
The Giver [2014 film],/work/15697816,The Giver,/work/9726954
The November Man [2014 film],/work/15571642,There Are No Spies,/work/474525
How to Train Your Dragon 2 [2014 film],/work/15563333,How to Train Your Dragon 2 [2014 film],/work/15563333
Endless Love [2014 movie],/work/19801939,Endless Love,/work/71746
Seventh Son [2014 film],/work/16510536,Revenge of the Witch,/work/8193712
This is Where I Leave You [2014 film],/work/16474256,This Is Where I Leave You,/work/8372575
The Best of Me [2014 film],/work/19563721,The Best of Me,/work/11107851
Still Alice [2014 film],/work/16570435,Still Alice,/work/4301018
Left Behind [2014 film],/work/16660187,Left Behind: A Novel of the Earth's Last Days,/work/909
If I Stay,/work/7250107,,
Addicted,/work/8202034,,
Before I Go to Sleep [2014 film],/work/18011068,Before I Go to Sleep,/work/10650990
The Hundred-Foot Journey [2014 film],/work/16713660,The Hundred-Foot Journey,/work/9751827
The Homesman [2014 film],/work/16429412,The Homesman: A Novel,/work/1648144
Winter's Tale [2014 film],/work/18459305,Winter's Tale,/work/7118
A Most Wanted Man [2014 film],/work/15466630,A Most Wanted Man,/work/5532612
Serena [2014 film],/work/17635818,Serena,/work/5387906
The Boxtrolls [2014 film],/work/16257939,The Boxtrolls [2014 film],/work/16257939
Desde Que O Samba e Samba (Em Portugues do Brasil),/work/12501886,,
A Long Way Down [2014 film],/work/17283681,A Long Way Down,/work/7372
The Two Faces of January [2014 film],/work/17049587,The Two Faces of January,/work/255302
Atlas Shrugged: Who Is John Galt? [2014 film],/work/26060241,Atlas Shrugged Part III,/work/16953804
The Humbling [2014 film],/work/18722806,The Humbling,/work/8387740
Memories [1995 film],/work/16612928,Memories [manga],/work/614063
The Great Gatsby [2013 film],/work/14005426,The Great Gatsby,/work/2964
Carrie [2013 Film],/work/15310679,Carrie,/work/12444
Snowpiercer [2013 film],/work/15368830,"Snowpiercer, Volume 1: The Escape",/work/14675532
Under the skin [2013 film],/work/25383046,Under the Skin,/work/14044
The Hunger Games: Catching Fire [2013 film],/work/14514700,Catching Fire,/work/8662515
World War Z [2013 film],/work/14625355,World War Z,/work/6426432
The Hobbit: The Desolation of Smaug [2013 film],/work/14612536,The Hobbit,/work/3206242
12 Years a Slave [2013 film],/work/14424088,Twelve Years a Slave,/work/331861
Beautiful Creatures [2013 film],/work/14407363,Beautiful Creatures,/work/8174366
Warm Bodies [2013 film],/work/14011559,Warm Bodies,/work/10473301
