SearchTerm,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
The Invisible Man [2020 film],/work/24837781,The Invisible Man,/work/21214,(1897),by H. G. Wells,0.0,(3.53),18.0,6.0
Emma [2020 film],/work/24788053,Emma,/work/364,(1816),by Jane Austen,0.0,(4.07),69.0,19.0
The Call of the Wild [2020 film],/work/24725786,The Call of the Wild,/work/21623,(1903),by Jack London,0.0,(3.79),24.0,25.0
The Rhythm Section,/work/831523,,,(1999),by Mark Burnell,1.0,(3.7),1.0,1.0
After Darkness [2019 film],/work/26124078,After,/work/6664405,,by Hazel J. Hutchins,0.0,(3.08),1.0,1.0
Doctor Sleep [2019 Film],/work/23905237,Doctor Sleep,/work/12550356,(2013),by Stephen King,1.0,(4.04),29.0,8.0
Little Women [2019 film],/work/24063655,Little Women,/work/2770499,(1868),by Louisa May Alcott,1.0,(4.01),10.0,30.0
Jojo Rabbit,/work/24241294,Caging Skies,/work/7765668,(2008),by Christine Leunens,0.0,(3.02),1.0,1.0
Pet Sematary [2019 film],/work/23112491,Pet Sematary,/work/24308,,by Stephen King,0.0,(3.76),7.0,10.0
Motherless Brooklyn,/work/8099,,,,by Jonathan Lethem,0.0,(3.97),5.0,8.0
The Goldfinch [2019 film],/work/24726773,The Goldfinch,/work/13520191,(2013),by Donna Tartt,0.0,(3.94),22.0,16.0
The Good Liar [2019 Film],/work/24327145,The Good Liar,/work/16848943,,by Nicholas Searle,0.0,(3.56),1.0,2.0
The personal history of David Copperfield [2019 film],/work/25088144,David Copperfield,/work/7489,(1850),by Charles Dickens,0.0,(4.09),26.0,26.0
The Art of Racing in the Rain [2019 film],/work/23596164,The Art of Racing in the Rain: A Novel,/work/4206105,(2008),by Garth Stein,0.0,(4.04),9.0,4.0
"Where'd You Go, Bernadette",/work/11476261,,,(2012),by Maria Semple,0.0,(3.92),6.0,6.0
The wandering earth [Liu lang di qiu] [2019 film],/work/22867146,The Wandering Earth {story},/work/15888266,,by Liu Cixin,0.0,(3.49),1.0,1.0
An Officer and a Spy,/work/13641500,,,(2013),by Robert Harris,0.0,(4.19),19.0,7.0
Zeroville,/work/1426913,,,(2007),by Steve Erickson,0.0,(4.01),1.0,2.0
A Dog's Way Home [2019 film],/work/22742270,A Dog's Way Home,/work/19438058,(2017),by W. Bruce Cameron,0.0,(4.11),3.0,1.0
The Anatomy of Influence: Literature as a Way of Life,/work/11100634,,,,by Harold Bloom,0.0,(3.67),1.0,1.0
Ready Player One [2018 film],/work/21661094,Ready Player One,/work/10966683,(2011),by Ernest Cline,1.0,(4.09),10.0,13.0
Red Sparrow [2018 film],/work/21263659,Red Sparrow,/work/13568479,(2013),by Jason Matthews,1.0,(3.82),9.0,3.0
Fantastic Beasts: The Crimes of Grindelwald [2018 film],/work/22634478,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,/work/21740108,,by J. K. Rowling,1.0,(3.71),15.0,1.0
Fifty Shades Freed [2018 film],/work/21776063,Fifty Shades Freed,/work/11914965,,by E. L. James,1.0,(3.35),19.0,3.0
The House with a Clock in Its Walls [2018 film],/work/22387114,The House with a Clock in Its Walls,/work/10037,(1973),by John Bellairs,1.0,(3.95),7.0,9.0
"Love, Simon [2018 film]",/work/21263678,Simon vs. the Homo Sapiens Agenda,/work/15101561,(2015),by Becky Albertalli,1.0,(4.22),5.0,15.0
Mortal Engines [2018 film],/work/22939176,Mortal Engines,/work/22781,,by Philip Reeve,1.0,(3.85),10.0,19.0
Maze Runner: The Death Cure [2018 film],/work/21742294,The Death Cure,/work/10838342,,by James Dashner,1.0,(3.56),10.0,2.0
The Darkest Minds [2018 film],/work/22446792,The Darkest Minds,/work/12179686,,by Alexandra Bracken,1.0,(3.97),9.0,2.0
The Girl in the Spider's Web [2018 Film],/work/22690608,The Girl in the Spider's Web,/work/15888480,,by David Lagercrantz,1.0,(3.62),11.0,3.0
The Hate U Give [2018 film],/work/22512640,The Hate U Give,/work/18690995,,by Angie Thomas,1.0,(4.48),15.0,23.0
A Wrinkle in Time [2018 film],/work/21526098,A Wrinkle in Time,/work/4044,,by Madeleine L'Engle,1.0,(4.05),19.0,27.0
London Fields,/work/7165,,,(1989),by Martin Amis,0.0,(3.7),3.0,5.0
Ophelia,/work/986361,,,(2006),by Lisa Klein,0.0,(3.58),6.0,2.0
If Beale Street Could Talk,/work/76725,,,(1974),by James Baldwin,0.0,(4.12),16.0,3.0
Every Day [2018 film],/work/21919186,Every Day,/work/12538587,,by David Levithan,1.0,(3.91),25.0,20.0
"Thugs Of Hindostan Hindi DVD - Amirk Khan, Amitabh Bachan, Katrina Kaif - A Bollywood Film By Aditya Chopra",/work/23000833,,,,by Vijay Krishna Acharya,0.0,,1.0,1.0
La Perdida,/work/508842,,,,by Jessica Abel,1.0,(3.5),3.0,1.0
The Bromley Boys: The True Story of Supporting the Worst Football Team in Britain,/work/6248915,,,,by Dave Roberts,0.0,(4.3),1.0,1.0
The Smiles of Sad Men,,,,,,,,,
It [2017 film],/work/20993425,It,/work/1489,(1986),by Stephen King,0.0,(4.07),35.0,18.0
Murder on the Orient Express [2017 film],/work/20623349,Murder on the Orient Express,/work/2742,(1934),by Agatha Christie,1.0,(4.06),18.0,9.0
Molly's Game [2017 film],/work/21695216,"Molly's Game: From Hollywood's Elite to Wall Street's Billionaire Boys Club, My High-Stakes Adventure in the World of Underground Poker",/work/15114888,,by Molly Bloom,0.0,(3.32),1.0,1.0
Wonder [2017 film],/work/20799541,Wonder,/work/11993910,,by R. J. Palacio,1.0,(4.48),9.0,63.0
Fifty Shades Darker [2017 film],/work/19875583,Fifty Shades Darker,/work/11716130,(2011),by E. L. James,1.0,(3.37),15.0,5.0
The Foreigner [2017 film],/work/20906546,The Foreigner,/work/26659140,,by Stephen Leather,0.0,,1.0,1.0
Atomic Blonde [2017 film],/work/20654862,The Coldest City,/work/12201399,(2012),"by Antony Johnston, Sam Hart (Illustrator)",1.0,(3.22),1.0,1.0
American Assassin [2017 film],/work/20760385,American Assassin,/work/9783887,,by Vince Flynn,1.0,(3.9),30.0,1.0
The Snowman [2017 film],/work/20976616,The Snowman,/work/6767489,(2007),by Jo Nesbø,1.0,(3.84),17.0,6.0
The Dark Tower [2017 film],/work/20294605,The Dark Tower,/work/5974,(2004),by Stephen King,1.0,(4.12),19.0,3.0
"Walden ; and, Civil Disobedience",/work/7792054,,,(1854),by Henry David Thoreau,0.0,(3.89),1.0,2.0
Kingsman: The Golden Circle [2017 film],/work/20746041,The Circle,/work/14149720,(2013),by Dave Eggers,0.0,(3.37),9.0,3.0
The Mountain Between Us [2017 movie],/work/20801969,,,,,,,,
The Beguiled [2017 film],/work/20409758,The Beguiled [1971 film],/work/14878336,(1971),"by Don Siegel (Director), John B. Sherry (Screenwriter)",0.0,(3.75),1.0,1.0
"Everything, Everything [2017 film]",/work/20073290,"Everything, Everything",/work/15602340,(2015),by Nicola Yoon,0.0,(3.94),1.0,11.0
Before I Fall [2017 film],/work/19531587,Before I Fall,/work/8465376,,by Lauren Oliver,0.0,(3.99),11.0,13.0
A Dog's Purpose [2017 film],/work/19502630,A Dog's Purpose,/work/9751253,(2010),by W. Bruce Cameron,1.0,(4.19),11.0,1.0
Diary of a Wimpy Kid: The Long Haul [2017 film],/work/20037511,Diary of a Wimpy Kid: The Long Haul,/work/14925100,(2014),by Jeff Kinney,1.0,(4.15),1.0,2.0
The Shack [2017 film],/work/19603282,The Shack,/work/3376637,(2008),"by William P. Young, William Paul Young (Author)",0.0,(3.43),8.0,4.0
Tulip Fever [2017 film],/work/20197888,Tulip Fever,/work/123153,(1999),by Deborah Moggach,0.0,(3.35),5.0,1.0
The Bookshop [2017 film],/work/21906266,The Bookshop,/work/27147,(1977),by Penelope Fitzgerald,0.0,(3.51),3.0,1.0
Submergence,/work/11541974,,,,by J. M. Ledgard,0.0,(3.49),1.0,3.0
