Title,Release_Date,ViewRating,Genres,Budget,DomesticGross,WorldwideGross,Description,Keywords,Runtime
"Gaia, Envoy to the Council of the Fourth Dimension",[,,,,,,,,
The Marked One,2021,,Horror ,,,,,based on novel ,
Life 2.0,2021,,Romance ,"3,000 (estimated)",Non,Non,,based on novel ,
The fall of Usher's house,2021,,Short Drama Fantasy Horror Thriller ,"<li class=""ipc-metadata-list__item BoxOffice__MetaDataListItemBoxOffice-sc-40s2pl-2 gwNUHl"" data-testid=""title-boxoffice-budget"" role=""presentation""><span class=""ipc-metadata-list-item__label"">Budget</span><div class=""ipc-metadata-list-item__content-container""><ul class=""ipc-inline-list ipc-inline-list--show-dividers ipc-inline-list--inline ipc-metadata-list-item__list-content base"" role=""presentation""><li class=""ipc-inline-list__item"" role=""presentation""><span class=""ipc-metadata-list-item__list-content-item"">RUR 1,000 (estimated)</span></li></ul></div></li",Non,Non,"The main character comes to his childhood friend, not suspecting what awaits him.",amateur diy amateur filmmaker amateur film diy film 35 more ,1021
365 Days,2020,TV-MA,Drama Romance ,Non,Non,"9,458,590","Massimo Torricelli, a young and handsome boss of a Sicilian Mafia family, has no other option but to take over after his father has been assassinated. Laura is a sales director in a luxurious hotel in Warsaw. She has a successful career, but her private life lacks passion. She is taking one last shot to save her relationship. Together with her bone-headed boyfriend, Martin and some other friends, she takes a trip to Sicily. She does not expect that Massimo, the most dangerous man on the island, will get in her way, kidnap her, hold her captive and give her 365 days - to fall in love with him.",oral sex male nudity male full rear nudity sex scene abducted woman 174 more ,105
The Invisible Man,2020,R,Drama Horror Mystery Sci-Fi Thriller ,"7,000,000 (estimated)","70,410,000","143,151,000","The film follows Cecilia, who receives the news of her abusive ex-boyfriend's suicide. She begins to re-build her life for the better. However, her sense of reality is put into question when she begins to suspect her deceased lover is not actually dead.",domestic abuse psychological abuse invisibility invisibility suit mad scientist 402 more ,124
After We Collided,2020,R,Drama Romance ,Non,"2,386,483","47,990,414","Tessa has everything to lose. Hardin has nothing to lose. - except her. After We Collided - Life will never be the same. After a tumultuous beginning to their relationship, Tessa and Hardin were on the path to making things work. Tessa knew Hardin could be cruel, but when a bombshell revelation is dropped about the origins of their relationship - and Hardin's mysterious past - Tessa is beside herself. Hardin will always be - Hardin. But is he really the deep, thoughtful guy Tessa fell madly in love with despite his angry exterior - or has he been a stranger all along? She wishes she could walk away. It's just not that easy. Hardin knows he made a mistake, possibly the biggest one of his life. He's not going down without a fight. But can he change? Will he change - for love? Yes, yes he will.",sequel birthday yoga singing in a car boyfriend girlfriend sex 11 more ,114
The Witches,2020,PG,Adventure Comedy Family Fantasy Horror Mystery ,Non,Non,"26,900,000","Reimagining Roald Dahl's beloved story for a modern audience, Robert Zemeckis's visually innovative film tells the darkly humorous and heartwarming tale of a young orphaned boy who, in late 1967, goes to live with his loving Grandma in the rural Alabama town of Demopolis. As the boy and his grandmother encounter some deceptively glamorous but thoroughly diabolical witches, she wisely whisks him away to a seaside resort. Regrettably, they arrive at precisely the same time that the world's Grand High Witch has gathered her fellow cronies from around the globe-undercover-to carry out her nefarious plans. Zemeckis is joined by a world-class team of filmmakers, including Alfonso Cuarón, Guillermo del Toro and Kenya Barris. The cast includes powerhouse performances from Anne Hathaway, Octavia Spencer, Stanley Tucci, Kristin Chenoweth and Chris Rock, with newcomer Jahzir Kadeen Bruno as the brave young hero.",based on novel witch european literature on screen taking off shoes barefoot female 266 more ,124
Emma.,2020,PG,Comedy Drama Romance ,"10,000,000 (estimated)","10,055,355","26,404,660","Jane Austen's beloved comedy about finding your equal and earning your happy ending, is reimagined in this. Handsome, clever, and rich, Emma Woodhouse is a restless queen bee without rivals in her sleepy little town. In this glittering satire of social class and the pain of growing up, Emma must adventure through misguided matches and romantic missteps to find the love that has been there all along.",nineteenth century female protagonist declaration of love based on novel horse and carriage 193 more ,124
Enola Holmes,2020,PG-13,Action Adventure Crime Drama Mystery ,,,,"England, 1884 - a world on the brink of change. On the morning of her 16th birthday, Enola Holmes (",runaway breaking the fourth wall detective train amateur detective 42 more ,123
Dolittle,2020,PG,Adventure Comedy Family Fantasy ,"175,000,000 (estimated)","77,047,065","245,438,444","After his wife's death, Dr. John Dolittle (Robert Downey, Jr.) decided to hide from the world with his beloved animals. But he has to take a journey to a mysterious island to find a healing tree, which is the only medicine that can help the dying Queen Victoria (Jessie Buckley) in Buckingham Palace.",gorilla grief duck live action cgi hybrid ship 53 more ,74
The Dry,2020,R,Crime Drama Mystery Thriller ,Non,"364,237","17,183,264","Federal Agent Aaron Falk returns to his home town after an absence of over twenty years to attend the funeral of his childhood friend, Luke, who allegedly killed his wife and child before taking his own life - a victim of the madness that has ravaged this community after more than a decade of drought. When Falk reluctantly agrees to stay and investigate the crime, he opens up an old wound - the death of 17- year-old Ellie Deacon. Falk begins to suspect these two crimes, separated by decades, are connected. As he struggles to prove not only Luke's innocence but also his own, Falk finds himself pitted against the prejudice towards him and and pent-up rage of a terrified community.",australian murder funeral river friend 68 more ,135
Violet Evergarden: The Movie,2020,,Animation Drama Fantasy Romance ,Non,Non,"20,339,624","After the aftermath of a war, a young girl who was used as a 'tool' for war learned to live. With the scars of burns, she goes back to her past to feel the true feelings of the Major's, ""I love you.""",non linear nonlinear timeline flashback death dying 23 more ,122
You Should Have Left,2020,R,Horror Thriller ,,,,"The stressed and jealous middle-aged banker Theo is married with the young actress Susanna and they have a six-year-old daughter, Ella. Theo is a hated man since he was accused of drowning his first wife, but he was considered not guilty by the justice. Out of the blue, they decide to travel on vacation to a huge, isolated house in the Welsh countryside to resolve the problems in their relationship. But soon they have nightmares and Theo believes something evil is hidden in the house.",nightmare spatial loop drowning husband wife relationship father daughter relationship 275 more ,93
Rebecca,2020,PG-13,Drama Mystery Romance Thriller ,,,,"After a whirlwind romance in Monte Carlo with handsome widower Maxim de Winter (Armie Hammer), a newly married young woman (Lily James) arrives at Manderley, her new husband's imposing family estate on a windswept English coast. Naive and inexperienced, she begins to settle into the trappings of her new life, but finds herself battling the shadow of Maxim's first wife, the elegant and urbane Rebecca, whose haunting legacy is kept alive by Manderley's sinister housekeeper Mrs. Danvers (Kristin Scott Thomas).",widower mansion family secret husband wife relationship hotel 321 more ,123
Let Him Go,2020,R,Crime Drama Thriller ,Non,"9,358,025","11,630,934","A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.",based on novel husband wife relationship grief final battle final showdown 181 more ,95
Spenser Confidential,2020,R,Action Comedy Crime Drama Mystery Thriller ,,,,"Spenser (Mark Wahlberg) - an ex-cop better known for making trouble than solving it - just got out of prison and is leaving Boston for good. But first he gets roped into helping his old boxing coach and mentor, Henry (Alan Arkin), with a promising amateur. That's Hawk (Winston Duke), a brash, no-nonsense MMA fighter convinced he'll be a tougher opponent than Spenser ever was. When two of Spenser's former colleagues turn up murdered, he recruits Hawk and his foul-mouthed ex-girlfriend, Cissy (Iliza Shlesinger), to help him investigate and bring the culprits to justice. Inspired by Robert B. Parker's Wonderland, a best-selling novel by Ace Atkins.",based on series of novels based on tv series innocent cop framed ex con ex cop 291 more ,75
The Midnight Sky,2020,PG-13,Drama Fantasy Sci-Fi Thriller ,Non,Non,"70,018","A scientist is working alone at a remote Arctic research station when he learns of a mysterious global disaster. At the same time, he meets a strange girl in the Arctic, with whom he must stop the return to Earth of the crew of the spaceship ""Aether"".",spaceship scientist survival astronaut old man 54 more ,145
All the Bright Places,2020,TV-MA,Drama Romance ,,,,"The story of Violet Markey and Theodore Finch, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they come together, discovering that even the smallest places and moments can mean something.",interracial relationship based on novel mental illness trauma interracial kiss 19 more ,134
