,SearchTerm,Year,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
0,The Invisible Man ,2020,/work/24837781,The Invisible Man,/work/21214,1897.0,by H. G. Wells,0.0,-3.53,18.0,6.0
1,Emma ,2020,/work/24788053,Emma,/work/364,1816.0,by Jane Austen,0.0,-4.07,69.0,19.0
2,The Call of the Wild ,2020,/work/24725786,The Call of the Wild,/work/21623,1903.0,by Jack London,0.0,-3.79,24.0,25.0
3,The Rhythm Section,,/work/831523,,,1999.0,by Mark Burnell,1.0,-3.7,1.0,1.0
4,After Darkness ,2019,/work/26124078,After,/work/6664405,,by Hazel J. Hutchins,0.0,-3.08,1.0,1.0
5,Doctor Sleep ,2019,/work/23905237,Doctor Sleep,/work/12550356,2013.0,by Stephen King,1.0,-4.04,29.0,8.0
6,Little Women ,2019,/work/24063655,Little Women,/work/2770499,1868.0,by Louisa May Alcott,1.0,-4.01,10.0,30.0
7,Jojo Rabbit,,/work/24241294,Caging Skies,/work/7765668,2008.0,by Christine Leunens,0.0,-3.02,1.0,1.0
8,Pet Sematary ,2019,/work/23112491,Pet Sematary,/work/24308,,by Stephen King,0.0,-3.76,7.0,10.0
9,Motherless Brooklyn,,/work/8099,,,,by Jonathan Lethem,0.0,-3.97,5.0,8.0
10,The Goldfinch ,2019,/work/24726773,The Goldfinch,/work/13520191,2013.0,by Donna Tartt,0.0,-3.94,22.0,16.0
11,The Good Liar ,2019,/work/24327145,The Good Liar,/work/16848943,,by Nicholas Searle,0.0,-3.56,1.0,2.0
12,The personal history of David Copperfield ,2019,/work/25088144,David Copperfield,/work/7489,1850.0,by Charles Dickens,0.0,-4.09,26.0,26.0
13,The Art of Racing in the Rain ,2019,/work/23596164,The Art of Racing in the Rain: A Novel,/work/4206105,2008.0,by Garth Stein,0.0,-4.04,9.0,4.0
14,"Where'd You Go, Bernadette",,/work/11476261,,,2012.0,by Maria Semple,0.0,-3.92,6.0,6.0
15,The wandering earth ,Liu,/work/22867146,The Wandering Earth {story},/work/15888266,,by Liu Cixin,0.0,-3.49,1.0,1.0
16,An Officer and a Spy,,/work/13641500,,,2013.0,by Robert Harris,0.0,-4.19,19.0,7.0
17,Zeroville,,/work/1426913,,,2007.0,by Steve Erickson,0.0,-4.01,1.0,2.0
18,A Dog's Way Home ,2019,/work/22742270,A Dog's Way Home,/work/19438058,2017.0,by W. Bruce Cameron,0.0,-4.11,3.0,1.0
19,The Anatomy of Influence: Literature as a Way of Life,,/work/11100634,,,,by Harold Bloom,0.0,-3.67,1.0,1.0
20,Ready Player One ,2018,/work/21661094,Ready Player One,/work/10966683,2011.0,by Ernest Cline,1.0,-4.09,10.0,13.0
21,Red Sparrow ,2018,/work/21263659,Red Sparrow,/work/13568479,2013.0,by Jason Matthews,1.0,-3.82,9.0,3.0
22,Fantastic Beasts: The Crimes of Grindelwald ,2018,/work/22634478,Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,/work/21740108,,by J. K. Rowling,1.0,-3.71,15.0,1.0
23,Fifty Shades Freed ,2018,/work/21776063,Fifty Shades Freed,/work/11914965,,by E. L. James,1.0,-3.35,19.0,3.0
24,The House with a Clock in Its Walls ,2018,/work/22387114,The House with a Clock in Its Walls,/work/10037,1973.0,by John Bellairs,1.0,-3.95,7.0,9.0
25,"Love, Simon ",2018,/work/21263678,Simon vs. the Homo Sapiens Agenda,/work/15101561,2015.0,by Becky Albertalli,1.0,-4.22,5.0,15.0
26,Mortal Engines ,2018,/work/22939176,Mortal Engines,/work/22781,,by Philip Reeve,1.0,-3.85,10.0,19.0
27,Maze Runner: The Death Cure ,2018,/work/21742294,The Death Cure,/work/10838342,,by James Dashner,1.0,-3.56,10.0,2.0
28,The Darkest Minds ,2018,/work/22446792,The Darkest Minds,/work/12179686,,by Alexandra Bracken,1.0,-3.97,9.0,2.0
29,The Girl in the Spider's Web ,2018,/work/22690608,The Girl in the Spider's Web,/work/15888480,,by David Lagercrantz,1.0,-3.62,11.0,3.0
30,The Hate U Give ,2018,/work/22512640,The Hate U Give,/work/18690995,,by Angie Thomas,1.0,-4.48,15.0,23.0
31,A Wrinkle in Time ,2018,/work/21526098,A Wrinkle in Time,/work/4044,,by Madeleine L'Engle,1.0,-4.05,19.0,27.0
32,London Fields,,/work/7165,,,1989.0,by Martin Amis,0.0,-3.7,3.0,5.0
33,Ophelia,,/work/986361,,,2006.0,by Lisa Klein,0.0,-3.58,6.0,2.0
34,If Beale Street Could Talk,,/work/76725,,,1974.0,by James Baldwin,0.0,-4.12,16.0,3.0
35,Every Day ,2018,/work/21919186,Every Day,/work/12538587,,by David Levithan,1.0,-3.91,25.0,20.0
36,"Thugs Of Hindostan Hindi DVD - Amirk Khan, Amitabh Bachan, Katrina Kaif - A Bollywood Film By Aditya Chopra",,/work/23000833,,,,by Vijay Krishna Acharya,0.0,,1.0,1.0
37,La Perdida,,/work/508842,,,,by Jessica Abel,1.0,-3.5,3.0,1.0
38,The Bromley Boys: The True Story of Supporting the Worst Football Team in Britain,,/work/6248915,,,,by Dave Roberts,0.0,-4.3,1.0,1.0
39,The Smiles of Sad Men,,,,,,,,,,
40,It ,2017,/work/20993425,It,/work/1489,1986.0,by Stephen King,0.0,-4.07,35.0,18.0
41,Murder on the Orient Express ,2017,/work/20623349,Murder on the Orient Express,/work/2742,1934.0,by Agatha Christie,1.0,-4.06,18.0,9.0
42,Molly's Game ,2017,/work/21695216,"Molly's Game: From Hollywood's Elite to Wall Street's Billionaire Boys Club, My High-Stakes Adventure in the World of Underground Poker",/work/15114888,,by Molly Bloom,0.0,-3.32,1.0,1.0
43,Wonder ,2017,/work/20799541,Wonder,/work/11993910,,by R. J. Palacio,1.0,-4.48,9.0,63.0
44,Fifty Shades Darker ,2017,/work/19875583,Fifty Shades Darker,/work/11716130,2011.0,by E. L. James,1.0,-3.37,15.0,5.0
45,The Foreigner ,2017,/work/20906546,The Foreigner,/work/26659140,,by Stephen Leather,0.0,,1.0,1.0
46,Atomic Blonde ,2017,/work/20654862,The Coldest City,/work/12201399,2012.0,"by Antony Johnston, Sam Hart (Illustrator)",1.0,-3.22,1.0,1.0
47,American Assassin ,2017,/work/20760385,American Assassin,/work/9783887,,by Vince Flynn,1.0,-3.9,30.0,1.0
48,The Snowman ,2017,/work/20976616,The Snowman,/work/6767489,2007.0,by Jo Nesbø,1.0,-3.84,17.0,6.0
