SearchTerm,Year,Link1,AdaptationOf,Link2,published_x,author_x,series_x,rating_x,charnum_x,awardnum_x
The Invisible Man [2020 film],The Invisible Man [2020 film],/work/24837781,The Invisible Man,/work/21214,1897,by H. G. Wells,0,-3.53,18,6
Emma [2020 film],Emma [2020 film],/work/24788053,Emma,/work/364,1816,by Jane Austen,0,-4.07,69,19
The Call of the Wild [2020 film],The Call of the Wild [2020 film],/work/24725786,The Call of the Wild,/work/21623,1903,by Jack London,0,-3.79,24,25
The Rhythm Section,The Rhythm Section,/work/831523,,,1999,by Mark Burnell,1,-3.7,1,1
After Darkness [2019 film],After Darkness [2019 film],/work/26124078,After,/work/6664405,,by Hazel J. Hutchins,0,-3.08,1,1
Doctor Sleep [2019 Film],Doctor Sleep [2019 Film],/work/23905237,Doctor Sleep,/work/12550356,2013,by Stephen King,1,-4.04,29,8
Little Women [2019 film],Little Women [2019 film],/work/24063655,Little Women,/work/2770499,1868,by Louisa May Alcott,1,-4.01,10,30
Jojo Rabbit,Jojo Rabbit,/work/24241294,Caging Skies,/work/7765668,2008,by Christine Leunens,0,-3.02,1,1
Pet Sematary [2019 film],Pet Sematary [2019 film],/work/23112491,Pet Sematary,/work/24308,,by Stephen King,0,-3.76,7,10
Motherless Brooklyn,Motherless Brooklyn,/work/8099,,,,by Jonathan Lethem,0,-3.97,5,8
The Goldfinch [2019 film],The Goldfinch [2019 film],/work/24726773,The Goldfinch,/work/13520191,2013,by Donna Tartt,0,-3.94,22,16
The Good Liar [2019 Film],The Good Liar [2019 Film],/work/24327145,The Good Liar,/work/16848943,,by Nicholas Searle,0,-3.56,1,2
The personal history of David Copperfield [2019 film],The personal history of David Copperfield [2019 film],/work/25088144,David Copperfield,/work/7489,1850,by Charles Dickens,0,-4.09,26,26
The Art of Racing in the Rain [2019 film],The Art of Racing in the Rain [2019 film],/work/23596164,The Art of Racing in the Rain: A Novel,/work/4206105,2008,by Garth Stein,0,-4.04,9,4
"Where'd You Go, Bernadette","Where'd You Go, Bernadette",/work/11476261,,,2012,by Maria Semple,0,-3.92,6,6
The wandering earth [Liu lang di qiu] [2019 film],The wandering earth [Liu lang di qiu] [2019 film],/work/22867146,The Wandering Earth {story},/work/15888266,,by Liu Cixin,0,-3.49,1,1
An Officer and a Spy,An Officer and a Spy,/work/13641500,,,2013,by Robert Harris,0,-4.19,19,7
Zeroville,Zeroville,/work/1426913,,,2007,by Steve Erickson,0,-4.01,1,2
A Dog's Way Home [2019 film],A Dog's Way Home [2019 film],/work/22742270,A Dog's Way Home,/work/19438058,2017,by W. Bruce Cameron,0,-4.11,3,1
