link,published,author,series,rating,charnum,awardnum
/work/28768,(2000),by Gil Courtemanche,0,(3.93),2,4
/work/156820,(2001),by Mo Hayder,1,(3.72),3,1
/work/12349,(1886),by Robert Louis Stevenson,0,(3.73),10,20
/work/5263983,(2003),by Yoko Ogawa,0,(3.98),3,4
/work/232884,,by Howard Frank Mosher,0,(3.93),1,1
/work/113,(2000),by J. K. Rowling,1,(4.36),49,25
/work/2773690,(1813),"by Jane Austen, Jane Austen (Author)",0,(4.4),37,42
/work/1588,,by Roald Dahl,1,(4.1),25,15
/work/1182675,(1950),by C. S. Lewis,1,(4.1),15,21
/work/60656,(1977),by Jay Anson,1,(3.26),7,4
/work/11494,(1898),by H. G. Wells,0,(3.75),12,22
/work/9769294,,by Stephanie Tyler,1,(3.89),2,1
/work/2492277,(1979),by Douglas Adams,1,(4.21),18,25
/work/2704,(1997),by Arthur Golden,0,(4),1,5
/work/7053890,,by Shane Black,0,(4.25),2,1
/work/1412367,(2005),by Kirk Jones (Director),1,(3.71),1,1
/work/23110,,by Christopher Buckley,0,(3.86),6,1
/work/4816,(2001),by John le Carré,0,(3.6),5,5
/work/71670,(1996),by Koji Suzuki,0,(3.61),1,1
/work/12482,,by Ann Brashares,1,(3.78),12,23
/work/505154,(1960),by Brian W. Aldiss,0,(2.66),9,1
/work/1386651,(1968),by J. R. R. Tolkien,1,(4.52),270,58
/work/1182459,(1992),by Clive Cussler,1,(3.68),17,2
/work/8114400,,"by Raja Gosnell (Director), Ron Burch (Writer), Madelyn Davis (Writer)",0,(3),1,1
/work/33070,(1948),"by Frank B. Gilbreth Jr., Ernestine Gilbreth Carey (Author)",1,(4),36,2
/work/213024,(2000),by Marc Levy,1,(3.18),4,6
/work/23044,(1999),by Elmore Leonard,1,(3.29),3,1
/work/16141994,,"by Grosset and Dunlap, Scott Foresman",1,(4.11),1,1
/work/2586,(2001),by Robert Crais,0,(3.68),9,3
/work/5772,(1992),by Nick Hornby,0,(3.64),1,1
/work/1577,,by Kate DiCamillo,0,(4.15),8,59
/work/2215,(1838),by Charles Dickens,0,(3.83),49,16
/work/75886,,by Rupert Holmes,0,(3.56),1,1
/work/35359,,by Claire Cook,0,(3.34),1,1
/work/558232,,by Mitch Cullin,0,(3.48),5,1
/work/11346514,,by Courtney Solomon,0,(3.17),1,1
/work/840,(2002),by Jonathan Safran Foer,0,(3.86),8,19
/work/3038782,,by Mike Mills (Director),0,(4),1,1
/work/23065,(1975),by Charles Bukowski,0,(3.83),1,1
/work/6535760,,"by Harold Ramis (Director), Robert Benton (Screenwriter), Richard Russo (Screenwriter)",0,(3.5),1,1
/work/105214,(1980),by Athol Fugard,0,(3.73),4,1
/work/8384455,(2005),by Hark Tsui (Director),0,(3.5),1,1
/work/2361,,by Myla Goldberg,0,(3.51),4,9
/work/19523,(1971),by Elizabeth Taylor,0,(4.08),6,4
/work/2880,,by Maeve Binchy,0,(3.65),5,3
/work/631824,(1971),by Bernard Malamud,0,(3.42),3,1
/work/17078885,,by Sterling Van Wagenen (Director),1,,1,1
