SearchTerm,Link1,AdaptationOf,Link2
The Love Letter [1999 film],/work/11423,The Love Letter,/work/72485
The King and I [1999 animated film],/work/26986295,The King and I [1956 film],/work/545272
Histoires d'hiver,/work/11753230,,
Fear and Loathing in Las Vegas [1998 film],/work/6017359,Fear and Loathing in Las Vegas,/work/3366
The Thin Red Line [1998 film],/work/4092762,The Thin Red Line,/work/8361
Modern Vampires [1998 film],/work/3085998,The Penguin Book of Vampire Stories,/work/2894670
Ringu [1998 Japanese film],/work/10874694,Ring,/work/38023
What Dreams May Come [1998 film],/work/2075506,What Dreams May Come,/work/57532
Psycho [1998 film],/work/11064706,Psycho [1960 film],/work/758836
The Man in the Iron Mask [1998 film],/work/4219307,The Man in the Iron Mask,/work/74637
Out of Sight [1998 film],/work/1224207,Out of Sight,/work/37361
Mercury Rising [1998 film],/work/2055992,Mercury Rising [1998 film],/work/2055992
Beloved [1998 film],/work/12551789,Beloved,/work/2182
Great Expectations: Original 1998 Motion Picture Soundtrack,/work/19188684,Great Expectations,/work/7554
A Simple Plan [1998 film],/work/1138878,A Simple Plan,/work/150141
The Legend of 1900 [1998 film],/work/9467002,Novecento: Un Monologo,/work/588453
Sphere [1998 film],/work/3482648,Sphere,/work/17543
The Object of My Affection [1998 film],/work/3002738,The Object of My Affection,/work/71718
Gods and Monsters [1998 film],/work/1300118,Father of Frankenstein,/work/420835
The Horse Whisperer [1998 film],/work/2344529,The Horse Whisperer,/work/21631
The Story of Doctor Dolittle,/work/6323,,
Quest for Camelot [1998 film],/work/545089,The King's Damosel,/work/293362
How Stella Got Her Groove Back,/work/45365,,
Simon Birch [1998 film],/work/1247024,A Prayer for Owen Meany,/work/7263
Primary Colors [1998 film],/work/7889787,Primary Colors,/work/35497
A Civil Action [1998 film],/work/2812400,A Civil Action,/work/35381
The Newton Boys [1998 film],/work/10485942,The Newton Boys [1998 film],/work/10485942
Hideous Kinky [1998 film],/work/852580,Hideous Kinky,/work/5308
One True Thing [1998 film],/work/3140018,One True Thing,/work/5789484
Lucky and Zorba,,,
I Know What You Did Last Summer [1997 film],/work/9867938,I Know What You Did Last Summer,/work/38360
Lolita [1997 film],/work/6381235,Lolita,/work/913
L.A. Confidential [1997 film],/work/624344,L. A. Confidential,/work/24601
The Devil's Advocate [1997 film],/work/318162,The Devil's Advocate,/work/74493
Starship Troopers [1997 film],/work/11319,Starship Troopers,/work/7802
Jackie Brown [1997 film],/work/8403888,Rum Punch,/work/83266
Contact [1997 film],/work/4041184,Contact,/work/3252172
The Lost World: Jurassic Park [1997 film],/work/1000542,The Lost World,/work/12409
The Rainmaker [1997 film],/work/1926517,The Rainmaker,/work/861142
Kiss the Girls [1997 film],/work/4046632,Kiss the Girls,/work/781783
The Relic [1997 film],/work/12151594,Relic,/work/4684
The Postman [1997 film],/work/2075595,The Postman,/work/19121
The Jackal [1997 film],/work/11400,The Jackal [1997 film],/work/11400
The Saint [1997 film],/work/2210275,The Saint [1997 film],/work/2210275
Private Parts: The Album (1997 Film),/work/19208518,Private Parts,/work/2512722
The Ice Storm [1997 film],/work/645673,The Ice Storm,/work/2868747
Absolute Power [1997 film],/work/2915929,Absolute Power,/work/19996
The Borrowers [1997 film],/work/6039767,The Borrowers,/work/34289
The Man Who Knew Too Little [1997 film],/work/6181948,The Man Who Knew Too Little [1997 film],/work/6181948
Affliction,/work/53693,,
The Sweet Hereafter [1997 film],/work/2406589,The Sweet Hereafter,/work/73707
Anna Karenina [1997 film],/work/2527189,Anna Karenina,/work/2340
Smilla's Sense of Snow [1997 film],/work/10184727,Smilla's Sense of Snow,/work/2856
A Thousand Acres [1997 film],/work/611347,A Thousand Acres,/work/2310
Oscar and Lucinda [1997 film],/work/4445968,Oscar and Lucinda,/work/27097
Critical Care [1997 film],/work/16966687,Critical Care,/work/1085634
Character [1997 film],/work/10160931,Character,/work/113265
A Time to Kill [1996 film],/work/1131925,A Time to Kill,/work/861081
Romeo + Juliet [1996 film],/work/644095,Romeo and Juliet,/work/2225
The Island of Dr. Moreau [1996 film],/work/1146288,The Island of Dr. Moreau,/work/3968
Matilda [1996 film],/work/2507543,Matilda,/work/1495
The First Wives Club [1996 film],/work/2703217,The First Wives Club,/work/10289
Crash [1996 film],/work/11733490,Crash,/work/7140
Primal Fear [1996 film],/work/2886645,Primal Fear,/work/179644
101 Dalmatians [1996 live action film],/work/8027237,The Hundred and One Dalmatians,/work/122301
James and the Giant Peach [1996 film],/work/2755607,James and the Giant Peach,/work/5138
The English Patient [1996 film],/work/4041507,The English Patient,/work/2941
The Hunchback of Notre Dame [1996 animated film],/work/710396,The Hunchback of Notre Dame,/work/2971
Striptease [1996 film],/work/7913050,Strip Tease,/work/32221
Emma [1996 film],/work/831070,Emma,/work/364
Thinner [1996 film],/work/16919574,Thinner,/work/35834
White Squall [1996 film],/work/8832225,The Last Voyage of the Albatross,/work/3031254
Bad Moon [1996 film],/work/23135138,Bad Moon Rising,/work/7078923
The Fan [1996 film],/work/7654754,The Fan,/work/539600
Jude [1996 film],/work/8606389,Jude the Obscure,/work/4365
Fly Away Home [1996 film],/work/998865,Fly Away Home [1996 film],/work/998865
Eye for an Eye [1996 film],/work/18314064,Eye for an Eye,/work/4517484
Harriet the Spy [1996 film],/work/9637224,Harriet the Spy,/work/6205
The Juror [1996 film],/work/16571753,The Juror,/work/179763
The Preacher's Wife [1996 film],/work/6224388,The Preacher's Wife [1996 film],/work/6224388
The Adventures of Pinocchio [1996 film],/work/21408940,Pinocchio,/work/33943
Mary Reilly [1996 film],/work/809282,Mary Reilly,/work/35816
Extreme Measures [1996 film],/work/17797973,Extreme Measures,/work/5755348
The Chamber [1996 Film],/work/664306,The Chamber,/work/861059
Heaven's Prisoners,/work/42405,,
Mrs. Winterbourne [2002 film],/work/1220487,,
Before and After [1996 film],/work/4098614,Before and After,/work/150146
Mother Night {1996 film},/work/16422997,Mother Night,/work/816500
Solo [1996 Film],/work/13629364,Solo,/work/56091
The Secret Agent [1996 film],/work/18431372,The Secret Agent,/work/7220
The Whole Wide World [1996 film],/work/9932718,"One who walked alone : Robert E. Howard, the final years",/work/956583
Clueless [1995 film],/work/606759,Emma,/work/364
Jumanji [1995 film],/work/699412,Jumanji,/work/45488
Casino [1995 film],/work/722374,Casino: Love and Honor in Las Vegas,/work/66235
Sense and Sensibility [1995 film],/work/532599,Sense and Sensibility,/work/2228
The Basketball Diaries [1995 film],/work/14638139,The Basketball Diaries,/work/27145
The Bridges of Madison County [1995 film],/work/2345263,The Bridges of Madison County,/work/19030
Leaving Las Vegas [1995 film],/work/734945,Leaving Las Vegas [1995 film],/work/734945
To Die For [1995 film],/work/1454863,To Die For,/work/91550
Village of the Damned [1995 film],/work/10343209,The Midwich Cuckoos,/work/19812
Get Shorty [1995 film],/work/9523720,Get Shorty,/work/23070
Babe [1995 film],/work/712943,Babe: The Gallant Pig,/work/174785
A Little Princess [1995 film],/work/3923203,A Little Princess,/work/1474
The Baby Sitter's Club [1995 film],/work/16792518,The Truth About Stacey,/work/61171
Congo [1995 film],/work/991463,Congo,/work/11616
Rob Roy [1995 film],/work/682586,Rob Roy,/work/35211
Underground,/work/58240,,
Devil in a Blue Dress [1995 film],/work/10239466,Devil in a Blue Dress,/work/43273
The Indian in the Cupboard [1995 film],/work/4140323,The Indian in the Cupboard,/work/6315
Fair Game,/work/10440971,,
The Scarlet Letter [1995 film],/work/22018924,The Scarlet Letter,/work/2264
Waiting to Exhale [1995 film],/work/11529363,Waiting to Exhale,/work/38007
How to Make an American Quilt [1995 film],/work/15638978,How to Make an American Quilt,/work/17950
Clockers [1995 film],/work/11713296,Clockers,/work/7459
Wild Bill [1995 film],/work/3214047,Deadwood,/work/283417
Angels and Insects [1995 film],/work/2849749,Angels & Insects,/work/2335
Restoration [1995 film],/work/2213909,Restoration,/work/122681
Dr Jekyll and Mr Hyde: York Notes for GCSE (9-1),/work/23445193,,
