Title,Release_Date,ViewRating,Genres,Budget,DomesticGross,WorldwideGross,Description,Keywords,Runtime
Jin yu liang yuan hong lou meng,2007,,Musical Romance ,,,,,based on novel ,144
American Psycho,2000,R,Comedy Crime Drama ,"7,000,000 (estimated)","15,070,285","34,266,564","It's the late 1980s. Twenty-seven year old Wall Streeter Patrick Bateman travels among a closed network of the proverbial beautiful people, that closed network in only they able to allow others like themselves in in a feeling of superiority. Patrick has a routinized morning regimen to maintain his appearance of attractiveness and fitness. He, like those in his network, are vain, narcissistic, egomaniacal and competitive, always having to one up everyone else in that presentation of oneself, but he, unlike the others, realizes that, for himself, all of these are masks to hide what is truly underneath, someone/something inhuman in nature. In other words, he is comprised of a shell resembling a human that contains only greed and disgust, greed in wanting what others may have, and disgust for those who do not meet his expectations and for himself in not being the first or the best. That disgust ends up manifesting itself in wanting to rid the world of those people, he not seeing them as people but only of those characteristics he wants to rid.",narcissism materialism serial murder business card chainsaw 509 more ,74
Requiem for a Dream,2000,Unrated,Drama ,"4,500,000 (estimated)","3,635,482","7,390,108","Sara Goldfarb (Ellen Burstyn) is a retired widow, living in a small apartment. She spends most of her time watching TV, especially a particular self-help show. She has delusions of rising above her current dull existence by being a guest on that show. Her son, Harry (Jared Leto) is a junkie but along with his friend Tyrone (Marlon Wayans) has visions of making it big by becoming a drug dealer. Harry's girlfriend Marion (Jennifer Connelly) could be fashion designer or artist but is swept along in Harry's drug-centric world. Meanwhile Sara has developed an addiction of her own. She desperately wants to lose weight and so goes on a crash course involving popping pills, pills which turn out to be very addictive and harmful to her mental state.",drug addiction sex show heroin sex scene addiction 261 more ,84
Battle Royale,2000,Not Rated,Action Adventure Drama Sci-Fi Thriller ,"4,500,000 (estimated)",Non,"958,989","Forty-two students, three days, one deserted Island: welcome to Battle Royale. A group of ninth-grade students from a Japanese high school have been forced by legislation to compete in a Battle Royale. The students are sent off to kill each other in a no-holds-barred game to the death, until one survives -- or they all die. Some decide to play the game like the psychotic Kiriyama or the sexual Mitsuko, while others are trying to find a way to get off the Island without violence. However, as the numbers dwindle is there any way for Shuya and his classmates to survive?",social commentary cult film game of survival game of death weapon 392 more ,105
"O Brother, Where Art Thou?",2000,PG-13,Adventure Comedy Crime Music ,"26,000,000 (estimated)","45,512,588","71,870,729","Loosely based on Homer's ""Odyssey,"" the movie deals with the picaresque adventures of Ulysses Everett McGill and his companions Delmar and Pete in 1930s Mississipi. Sprung from a chain gang and trying to reach Everett's home to recover the buried loot of a bank heist they are confronted by a series of strange characters--among them sirens, a cyclops, bank robber George ""Baby Face"" Nelson (very annoyed by that nickname), a campaigning governor and his opponent, a KKK lynch mob, and a blind prophet who warns the trio that ""the treasure you seek shall not be the treasure you find.""",greek mythology slapstick comedy odysseus neo screwball comedy ku klux klan komedy 256 more ,134
The Beach,2000,R,Adventure Drama Romance Thriller ,"50,000,000 (estimated)","39,785,027","144,056,873","Garland's novel centers on a young nicotine-addicted traveler named Richard, an avid pop-culture buff with a particular love for video games and Vietnam War movies. While at a hotel in Bangkok, he finds a map left by his strange, whacked-out neighbor, who just committed suicide. The map supposedly leads to a legendary island paradise where some other wayward souls have settled.",thailand paradise travel beach island 156 more ,155
The Perfect Storm,2000,PG-13,Action Adventure Drama Thriller ,"140,000,000 (estimated)","182,618,434","328,718,434","In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.",fish fishing sea death seastorm 102 more ,121
Chocolat,2000,PG-13,Drama Romance ,"25,000,000 (estimated)","71,509,363","152,699,976","When single mother Vianne Rocher (Juliette Binoche) and her six-year-old daughter, Anouk (Victoire Thivisol) move to rural France and open a chocolate shop, with Sunday hours, across the street from the local church, they are met with some skepticism. But as soon as they coax the townspeople into enjoying their delicious products, they are warmly welcomed.",chocolate france village food magical realism 210 more ,121
High Fidelity,2000,R,Comedy Drama Music Romance ,"30,000,000 (estimated)","27,287,137","47,126,295","Thirty-something Rob Gordon, a former club DJ, owns a not-so-lucrative used record store in Chicago. He not so much employs Barry and Dick, but rather keeps them around as they showed up at the store one day and never left. All three are vinyl and music snobs, but in different ways. Rob has a penchant for compiling top-five lists. The latest of these lists is his top-five break-ups, it spurred by the fact that his latest girlfriend, Laura, a lawyer, has just broken up with him. He believed that Laura would be the one who would last, partly as an expectation of where he would be at this stage in his life. Rob admits that there have been a few incidents in their relationship which in and of themselves could be grounds for her to want to break up. To his satisfaction, Laura is not on this top-five list. Rob feels a need not only to review the five relationships, which go back as far as middle school when he was 12, and try to come to terms with why the woman, or girl as the case may be, left him, but also, in the words of Charlie Nicholson, number four on the list, ""what it all means"" for why he has ended up where he is, which is nowhere, personally or professionally, close to what he envisioned. He also has to come to terms with what it means that Laura has moved on to Ian Raymond, a man for whom neither had any respect when they were together.",two word title breaking the fourth wall talking to the camera record store employer employee relationship 169 more ,95
"Crouching Tiger, Hidden Dragon",2000,PG-13,Action Adventure Drama Fantasy Romance ,"17,000,000 (estimated)","128,078,872","213,525,736","In early nineteenth-century China, in the waning years of the Qing dynasty, the renowned swordsman who yearns for enlightenment, Li Mu Bai, decides to give up his legendary Green Destiny sword: the sharp four-hundred-year-old blade of heroes. To mark the end of a blood-stained career, Li entrusts the excellent female warrior, Yu Shu Lien, with the precious weapon to deliver it to Governor Yu; however, once there, an audacious and nimble masked thief manages to steal it. As Shu Lien is hot on the trail of the skilled burglar, unrequited loves; fervent passions; an unconquerable desire for freedom, and bitter loose ends stand in the way. Can Mu Bai shake off his violent past?",china female martial artist defying gravity tragic hero mixed martial arts 218 more ,122
