Title,Release_Date,ViewRating,Genres,Budget,DomesticGross,WorldwideGross,Description,Keywords,Runtime
Cosmos,2015,Not Rated,Comedy Crime Drama ,"<li class=""ipc-metadata-list__item BoxOffice__MetaDataListItemBoxOffice-sc-40s2pl-2 gwNUHl"" data-testid=""title-boxoffice-budget"" role=""presentation""><span class=""ipc-metadata-list-item__label"">Budget</span><div class=""ipc-metadata-list-item__content-container""><ul class=""ipc-inline-list ipc-inline-list--show-dividers ipc-inline-list--inline ipc-metadata-list-item__list-content base"" role=""presentation""><li class=""ipc-inline-list__item"" role=""presentation""><span class=""ipc-metadata-list-item__list-content-item"">€1,648,534 (estimated)</span></li></ul></div></li","25,856","34,393","Witold just failed his law-school examinations and Fuchs has just quit his job at a Parisian fashion company. Arriving for a few days away at a so-called family guest-house, they are greeted by a series of unsettling omens: a sparrow hanging in the forest, then a piece of wood in the same condition, and finally signs on the ceiling and in the garden. In this guest-house there is also a baleful mouth, that of the maid, and a perfect mouth, that of the young woman of the house with whom Witold falls madly in love. Unfortunately, she has just married an architect of the most respectable sort. But is the young woman equally respectable? The third hanging, that of the cat, is Witold's doing. Why did he do it? And above all - will the fourth hanging be that of a human?",reference to leo tolstoy reference to charlie chaplin reference to jean paul sartre reference to stendhal reference to pier paolo pasolini 43 more ,94
Ten Thousand Saints,2015,R,Comedy Drama Music ,Non,"59,333",Non,"Follows three screwed up young people and their equally screwed up parents in the age of CBGB's, yuppies and the tinderbox of gentrification that exploded into the Tompkins Square Park Riots in New York's East Village in the 1980s.",alphabet city manhattan indian american chopsticks crying guitarist 256 more ,95
Sweet Bean,2015,Not Rated,Drama ,"<li class=""ipc-metadata-list__item BoxOffice__MetaDataListItemBoxOffice-sc-40s2pl-2 gwNUHl"" data-testid=""title-boxoffice-budget"" role=""presentation""><span class=""ipc-metadata-list-item__label"">Budget</span><div class=""ipc-metadata-list-item__content-container""><ul class=""ipc-inline-list ipc-inline-list--show-dividers ipc-inline-list--inline ipc-metadata-list-item__list-content base"" role=""presentation""><li class=""ipc-inline-list__item"" role=""presentation""><span class=""ipc-metadata-list-item__list-content-item"">¥234,000,000 (estimated)</span></li></ul></div></li","124,800","4,728,350","The manager of a pancake stall finds himself confronted with an odd but sympathetic elderly woman looking for work. A taste of her homemade red bean paste convinces him to hire her, which starts a relationship that is about much more than just street food.",old age pub small business street vendor teenage girl 252 more ,95
Barney Thomson,2015,Unrated,Comedy Crime ,Non,Non,"1,336,254",Barney Thomson (,barber glasgow scotland police detective voiceover narration barbershop 27 more ,123
Kill Your Friends,2015,Not Rated,Comedy Crime Music Thriller ,Non,Non,"533,147",An A&amp;R man working at the height of the Britpop music craze goes to extremes in order to find his next hit.,cocaine murder london england band tour reference to schadenfreude 506 more ,94
Angelica,2015,,Drama Thriller ,,,,"In Victorian England, sexual repression opens a rift between young couple Constance and Joseph after the birth of their daughter Angelica. As Constance becomes more and more protective of little Angelica, a ghostly predator begins to make its way through the house late at night... ANGELICA is a spellbinding ghost story about desire, repression and its consequences... The new film by Mitchell Lichtenstein, director of HAPPY TEARS and the cult favorite TEETH.",male full frontal nudity nudity female nudity orgasm topless female nudity 71 more ,113
Swung,2015,,Comedy Drama Romance ,,,,"David's life is on the slide: he's in the middle of a divorce, broke and 'can't get it up'. His girlfriend, Alice, is his rock, but the magazine she writes for is going down and the pressure is on to find a story. While job hunting online, David stumbles across the perfect antidote to his boredom: a 'Swingers' site. The resulting inbox of lewd invitations on the home-laptop justifiably upsets Alice, until she realises this could be just the 'story' she needs. The idea of uncovering the swinging scene causes quite a stir in Alice's office and, much to David's chagrin, she is urged to pursue the story. Their first reluctant foray is an hysterically low-rent initiation, however, an unexpected upturn for David's manhood is all the extra encouragement they need. As events accelerate beyond their control the once adoring couple become lost and fundamental questions are asked of their relationship and them as individuals. In darkness, touched by many others, they will have to find themselves or lose each other forever. SWUNG is a graphic, touching and funny drama about the secret underside of a very modern relationship taken to its emotional and sexual limits.",penis swinger party swinger couple impotent husband based on novel 204 more ,132
The Empire of Corpses,2015,TV-MA,Animation Sci-Fi Thriller ,Non,Non,"43,320","After breaking the law of reanimating human corpses, young Watson has to either work for the government or face punishment. He has to go on a secret mission, to find the notes of Viktor Frankenstein, who reanimated the first human corpse.",notes mission breaking the law scientific experiment journal 14 more ,122
Sunset Song,2015,R,Drama ,Non,"159,714","1,302,482","Spanning the 1910 decade, six years in the life of a girl named Chris, one of the numerous children of a tyrannical Scottish farmer. Years of high hopes and of disillusionment, of mirth and sorrow, of dreaming and toiling, of sweetness and violence, of love and hate, of peace and war. And in the end, the dignified loneliness of a new Chris, a woman who seems to have gone through several lives, now and forever as one with the land, the earth eternal...",1910s farmer scottish love female frontal nudity 72 more ,171
Als wir träumten,2015,,Drama ,Non,Non,"334,069","In 1990s east Germany, three boys are in love with techno music and start their own club.",female nudity topless female nudity beat up pole dance east germany 7 more ,135
The Lady in the Car with Glasses and a Gun,2015,Not Rated,Crime Drama Mystery Thriller ,"<li class=""ipc-metadata-list__item BoxOffice__MetaDataListItemBoxOffice-sc-40s2pl-2 gwNUHl"" data-testid=""title-boxoffice-budget"" role=""presentation""><span class=""ipc-metadata-list-item__label"">Budget</span><div class=""ipc-metadata-list-item__content-container""><ul class=""ipc-inline-list ipc-inline-list--show-dividers ipc-inline-list--inline ipc-metadata-list-item__list-content base"" role=""presentation""><li class=""ipc-inline-list__item"" role=""presentation""><span class=""ipc-metadata-list-item__list-content-item"">€7,364,162 (estimated)</span></li></ul></div></li","2,167","339,461","A secretary steals her boss' car to go joyriding. She visits a seaside town she swears she's never been to, but everyone knows her name. And when a body turns up in the trunk of the car, she is the lead suspect in a murder she knows nothing about. Is she going crazy?",car female frontal nudity bare breasts yellow panties female rear nudity 299 more ,93
The World Made Straight,2015,R,Drama ,,,,"In a rural Appalachian community haunted by the legacy of a Civil War massacre, a rebellious young man struggles to escape the violence that would bind him to the past.",bikini massacre north carolina southern appalachia american civil war 21 more ,155
Wolf Totem,2015,PG-13,Adventure Drama ,"38,000,000 (estimated)","210,591","125,837,070","In 1967, a young Beijing student, Chen Zhen, is sent to live among the nomadic herdsmen of Inner Mongolia. Caught between the advance of civilization from the south and the nomads' traditional enemies - the marauding wolves - to the north; humans and animals, residents and invaders alike, struggle to find their true place in the world.",inner mongolia wolf china tradition versus modernity hungry wolf 24 more ,121
